id,date,amount,income_src
217,8/28/2024,"€805,96",Gift
218,11/12/2023,"€660,03",Investment
219,10/29/2024,"€511,58",Gift
220,9/26/2024,"€293,40",Freelance
221,11/10/2023,"€929,54",Freelance
222,7/25/2024,"€972,06",Salary
223,4/20/2024,"€97,29",Investment
224,12/23/2023,"€736,43",Freelance
225,5/29/2024,"€612,23",Gift
226,2/16/2024,"€164,85",Freelance
227,5/5/2024,"€378,74",Gift
228,2/22/2024,"€713,52",Rental Income
229,5/17/2024,"€948,88",Rental Income
230,8/25/2024,"€319,50",Gift
231,11/23/2023,"€502,42",Salary
232,6/18/2024,"€877,25",Freelance
233,5/16/2024,"€25,17",Rental Income
234,11/9/2023,"€948,46",Rental Income
235,7/31/2024,"€1,24",Salary
236,3/17/2024,"€891,74",Investment
237,5/19/2024,"€852,09",Gift
238,12/27/2023,"€396,48",Rental Income
239,2/15/2024,"€817,54",Gift
240,8/19/2024,"€248,95",Rental Income
241,11/30/2023,"€668,24",Gift
242,10/8/2024,"€558,53",Salary
243,1/31/2024,"€648,38",Freelance
244,11/28/2023,"€301,63",Freelance
245,5/15/2024,"€801,07",Freelance
246,5/4/2024,"€887,45",Gift
247,2/4/2024,"€245,81",Rental Income
248,11/20/2023,"€155,37",Investment
249,12/7/2023,"€227,26",Gift
250,1/18/2024,"€993,76",Salary
251,11/24/2023,"€362,57",Investment
252,7/23/2024,"€293,30",Rental Income
253,3/4/2024,"€927,59",Rental Income
254,3/29/2024,"€256,44",Investment
255,7/8/2024,"€411,38",Gift
256,7/12/2024,"€260,01",Investment
257,5/10/2024,"€771,53",Gift
258,11/5/2024,"€364,79",Freelance
259,11/24/2023,"€892,35",Freelance
260,7/26/2024,"€860,24",Salary
261,4/7/2024,"€88,68",Freelance
262,4/23/2024,"€522,24",Salary
263,11/29/2023,"€93,91",Gift
264,4/22/2024,"€23,68",Investment
265,5/13/2024,"€31,48",Investment
266,3/21/2024,"€847,30",Salary
267,1/25/2024,"€427,19",Freelance
268,9/25/2024,"€622,04",Salary
269,11/13/2023,"€608,76",Gift
270,8/20/2024,"€180,14",Gift
271,3/25/2024,"€671,86",Gift
272,12/16/2023,"€115,18",Rental Income
273,9/14/2024,"€247,58",Salary
274,7/18/2024,"€730,36",Salary
275,4/28/2024,"€11,05",Investment
276,5/12/2024,"€576,15",Salary
277,10/11/2024,"€396,57",Rental Income
278,9/25/2024,"€701,55",Salary
279,3/27/2024,"€798,88",Freelance
280,6/27/2024,"€727,15",Investment
281,6/16/2024,"€517,81",Salary
282,4/24/2024,"€599,02",Gift
283,6/21/2024,"€848,70",Salary
284,8/11/2024,"€129,41",Gift
285,8/17/2024,"€440,67",Salary
286,12/21/2023,"€188,21",Freelance
287,4/3/2024,"€648,12",Rental Income
288,5/25/2024,"€840,06",Freelance
289,6/29/2024,"€982,45",Salary
290,11/6/2024,"€563,40",Gift
291,9/19/2024,"€709,48",Rental Income
292,9/16/2024,"€473,21",Investment
293,12/13/2023,"€751,79",Investment
294,8/2/2024,"€204,50",Salary
295,4/26/2024,"€397,47",Rental Income
296,5/18/2024,"€539,74",Freelance
297,5/16/2024,"€53,55",Freelance
298,10/14/2024,"€410,46",Rental Income
299,3/13/2024,"€877,89",Freelance
300,10/25/2024,"€337,35",Gift
301,9/28/2024,"€779,36",Investment
302,9/17/2024,"€975,30",Salary
303,6/18/2024,"€319,41",Salary
304,2/11/2024,"€925,15",Salary
305,7/29/2024,"€491,90",Investment
306,5/4/2024,"€537,11",Investment
307,10/14/2024,"€409,13",Investment
308,6/19/2024,"€175,75",Gift
309,1/13/2024,"€765,89",Gift
310,3/26/2024,"€523,63",Freelance
311,5/17/2024,"€893,94",Freelance
312,3/7/2024,"€423,13",Gift
313,3/24/2024,"€678,37",Freelance
314,5/12/2024,"€123,15",Investment
315,4/1/2024,"€205,76",Salary
316,4/7/2024,"€61,06",Rental Income
317,11/7/2024,"€618,22",Rental Income
318,1/16/2024,"€448,17",Investment
319,8/17/2024,"€220,21",Freelance
320,6/2/2024,"€348,83",Rental Income
321,5/11/2024,"€156,42",Rental Income
322,10/4/2024,"€149,83",Investment
323,1/1/2024,"€660,08",Gift
324,2/16/2024,"€707,06",Salary
325,6/15/2024,"€377,78",Investment
326,6/12/2024,"€441,41",Investment
327,10/7/2024,"€742,48",Investment
328,4/18/2024,"€775,38",Rental Income
329,11/8/2023,"€100,52",Salary
330,10/7/2024,"€932,33",Freelance
331,11/15/2023,"€721,83",Investment
332,2/9/2024,"€512,64",Freelance
333,10/11/2024,"€993,54",Gift
334,2/15/2024,"€665,07",Salary
335,12/10/2023,"€931,99",Salary
336,11/27/2023,"€241,88",Salary
337,4/5/2024,"€453,87",Freelance
338,10/28/2024,"€420,28",Salary
339,8/7/2024,"€30,14",Gift
340,9/23/2024,"€922,42",Rental Income
341,9/30/2024,"€820,36",Rental Income
342,9/22/2024,"€549,53",Freelance
343,8/8/2024,"€452,50",Gift
344,6/6/2024,"€17,03",Gift
345,8/24/2024,"€650,83",Gift
346,12/31/2023,"€959,17",Freelance
347,9/1/2024,"€595,55",Salary
348,8/2/2024,"€723,48",Rental Income
349,8/26/2024,"€905,11",Rental Income
350,3/4/2024,"€60,03",Investment
351,11/11/2023,"€671,20",Investment
352,10/20/2024,"€790,54",Freelance
353,7/12/2024,"€75,04",Freelance
354,1/3/2024,"€708,57",Salary
355,11/20/2023,"€439,60",Gift
356,1/13/2024,"€107,75",Rental Income
357,12/10/2023,"€38,04",Investment
358,12/8/2023,"€861,35",Rental Income
359,1/9/2024,"€334,46",Freelance
360,4/17/2024,"€695,00",Investment
361,3/21/2024,"€290,98",Freelance
362,10/24/2024,"€994,07",Freelance
363,9/25/2024,"€977,13",Rental Income
364,9/20/2024,"€567,19",Rental Income
365,10/20/2024,"€768,60",Rental Income
366,4/19/2024,"€254,43",Gift
367,11/11/2023,"€90,67",Rental Income
368,11/2/2024,"€695,49",Rental Income
369,2/7/2024,"€115,30",Gift
370,3/26/2024,"€824,76",Gift
371,2/22/2024,"€98,58",Salary
372,12/10/2023,"€232,39",Investment
373,7/14/2024,"€801,85",Gift
374,12/29/2023,"€87,70",Freelance
375,6/22/2024,"€862,41",Gift
376,6/6/2024,"€920,84",Gift
377,6/28/2024,"€672,29",Salary
378,10/13/2024,"€667,36",Salary
379,10/29/2024,"€872,38",Freelance
380,5/20/2024,"€146,99",Freelance
381,1/11/2024,"€164,03",Gift
382,6/10/2024,"€117,53",Rental Income
383,3/18/2024,"€297,72",Investment
384,4/26/2024,"€730,11",Salary
385,4/9/2024,"€795,92",Gift
386,3/9/2024,"€245,99",Rental Income
387,12/15/2023,"€567,29",Salary
388,2/28/2024,"€121,84",Gift
389,8/29/2024,"€539,77",Freelance
390,3/21/2024,"€830,93",Rental Income
391,10/7/2024,"€426,60",Rental Income
392,8/25/2024,"€929,30",Gift
393,3/30/2024,"€314,48",Rental Income
394,5/14/2024,"€773,39",Rental Income
395,3/12/2024,"€301,33",Investment
396,9/9/2024,"€324,03",Investment
397,10/10/2024,"€321,80",Salary
398,4/29/2024,"€787,96",Rental Income
399,2/8/2024,"€578,41",Freelance
400,4/29/2024,"€352,79",Freelance
401,10/22/2024,"€139,61",Gift
402,8/1/2024,"€571,53",Freelance
403,9/25/2024,"€185,92",Freelance
404,10/5/2024,"€70,31",Investment
405,10/21/2024,"€143,42",Investment
406,10/16/2024,"€270,77",Freelance
407,8/17/2024,"€666,58",Investment
408,6/25/2024,"€504,99",Salary
409,11/7/2024,"€109,87",Freelance
410,12/12/2023,"€182,22",Freelance
411,8/1/2024,"€861,07",Investment
412,2/13/2024,"€359,24",Rental Income
413,6/23/2024,"€462,16",Investment
414,7/12/2024,"€196,55",Rental Income
415,12/6/2023,"€977,30",Gift
416,1/17/2024,"€636,85",Gift
417,9/21/2024,"€401,32",Rental Income
418,1/13/2024,"€983,78",Gift
419,7/4/2024,"€625,60",Rental Income
420,3/23/2024,"€412,37",Investment
421,7/3/2024,"€889,52",Freelance
422,1/12/2024,"€586,47",Salary
423,4/4/2024,"€730,24",Gift
424,4/2/2024,"€5,96",Rental Income
425,4/6/2024,"€963,52",Salary
426,5/16/2024,"€587,70",Freelance
427,12/16/2023,"€81,44",Rental Income
428,4/26/2024,"€580,71",Gift
429,6/4/2024,"€297,52",Investment
430,6/16/2024,"€339,33",Salary
431,1/18/2024,"€165,32",Salary
432,7/7/2024,"€584,77",Salary
433,11/21/2023,"€632,19",Investment
434,7/15/2024,"€373,01",Freelance
435,9/14/2024,"€609,04",Rental Income
436,1/5/2024,"€248,25",Rental Income
437,11/8/2023,"€155,17",Gift
438,6/4/2024,"€509,13",Salary
439,3/29/2024,"€880,29",Gift
440,11/15/2023,"€548,20",Rental Income
441,10/12/2024,"€2,02",Freelance
442,5/31/2024,"€264,20",Salary
443,11/17/2023,"€375,66",Freelance
444,5/20/2024,"€282,99",Freelance
445,10/10/2024,"€832,93",Investment
446,10/27/2024,"€156,68",Gift
447,7/23/2024,"€533,26",Salary
448,3/19/2024,"€255,18",Gift
449,3/8/2024,"€866,29",Investment
450,10/24/2024,"€761,26",Rental Income
451,12/22/2023,"€302,88",Gift
452,1/13/2024,"€617,23",Gift
453,11/18/2023,"€461,66",Freelance
454,9/15/2024,"€627,25",Investment
455,3/1/2024,"€302,72",Investment
456,8/9/2024,"€769,01",Investment
457,6/3/2024,"€910,11",Investment
458,9/12/2024,"€85,14",Salary
459,6/20/2024,"€781,30",Salary
460,10/5/2024,"€901,86",Salary
461,5/10/2024,"€768,52",Rental Income
462,3/11/2024,"€802,06",Freelance
463,10/25/2024,"€720,81",Gift
464,8/18/2024,"€214,65",Rental Income
465,12/19/2023,"€186,80",Rental Income
466,3/22/2024,"€795,43",Rental Income
467,4/8/2024,"€851,84",Freelance
468,2/10/2024,"€721,63",Salary
469,12/25/2023,"€463,96",Rental Income
470,7/1/2024,"€484,63",Gift
471,1/5/2024,"€859,00",Salary
472,4/11/2024,"€426,83",Rental Income
473,1/31/2024,"€991,83",Investment
474,8/6/2024,"€893,73",Investment
475,7/21/2024,"€637,79",Investment
476,8/8/2024,"€812,85",Salary
477,9/16/2024,"€23,84",Investment
478,7/16/2024,"€542,90",Salary
479,11/21/2023,"€64,19",Rental Income
480,11/23/2023,"€634,20",Freelance
481,11/3/2024,"€117,55",Freelance
482,7/16/2024,"€181,42",Rental Income
483,10/12/2024,"€512,91",Salary
484,6/2/2024,"€289,72",Investment
485,2/29/2024,"€248,96",Freelance
486,9/23/2024,"€698,70",Salary
487,3/26/2024,"€408,65",Investment
488,10/21/2024,"€95,60",Gift
489,5/1/2024,"€978,84",Investment
490,7/5/2024,"€331,95",Freelance
491,4/12/2024,"€560,90",Gift
492,11/23/2023,"€650,60",Salary
493,2/5/2024,"€139,63",Investment
494,12/31/2023,"€179,50",Salary
495,9/18/2024,"€726,07",Salary
496,11/19/2023,"€737,36",Freelance
497,1/23/2024,"€428,27",Rental Income
498,12/16/2023,"€878,22",Freelance
499,8/31/2024,"€238,85",Investment
500,3/30/2024,"€230,07",Rental Income
501,12/15/2023,"€623,94",Investment
502,12/17/2023,"€796,40",Freelance
503,9/22/2024,"€717,19",Gift
504,7/5/2024,"€345,06",Freelance
505,10/20/2024,"€492,01",Rental Income
506,6/29/2024,"€94,99",Freelance
507,8/17/2024,"€999,26",Gift
508,3/17/2024,"€220,91",Gift
509,4/11/2024,"€13,94",Investment
510,9/5/2024,"€828,39",Gift
511,5/18/2024,"€262,73",Freelance
512,7/26/2024,"€488,08",Rental Income
513,9/15/2024,"€230,29",Salary
514,11/7/2024,"€203,26",Gift
515,5/20/2024,"€259,33",Rental Income
516,11/4/2024,"€664,09",Freelance
517,2/25/2024,"€437,92",Investment
518,2/19/2024,"€934,12",Salary
519,5/6/2024,"€292,27",Salary
520,9/30/2024,"€448,74",Gift
521,1/28/2024,"€191,18",Investment
522,12/7/2023,"€33,45",Freelance
523,4/28/2024,"€396,54",Gift
524,1/7/2024,"€560,14",Gift
525,7/17/2024,"€257,25",Salary
526,5/10/2024,"€710,24",Gift
527,10/12/2024,"€710,63",Salary
528,4/9/2024,"€191,87",Salary
529,12/30/2023,"€70,88",Gift
530,4/13/2024,"€21,17",Freelance
531,1/23/2024,"€614,04",Investment
532,8/26/2024,"€667,02",Rental Income
533,8/29/2024,"€663,49",Investment
534,10/1/2024,"€370,07",Rental Income
535,11/29/2023,"€384,27",Salary
536,5/28/2024,"€368,60",Investment
537,7/19/2024,"€203,71",Freelance
538,11/19/2023,"€283,84",Rental Income
539,5/4/2024,"€115,97",Investment
540,8/3/2024,"€179,78",Investment
541,12/23/2023,"€656,00",Freelance
542,11/1/2024,"€501,16",Salary
543,5/18/2024,"€781,76",Gift
544,12/31/2023,"€155,80",Gift
545,11/22/2023,"€453,32",Freelance
546,3/16/2024,"€290,52",Gift
547,10/29/2024,"€108,47",Salary
548,2/17/2024,"€609,95",Gift
549,6/24/2024,"€765,42",Salary
550,5/31/2024,"€794,28",Freelance
551,3/9/2024,"€464,78",Investment
552,5/7/2024,"€900,04",Investment
553,4/24/2024,"€525,77",Investment
554,8/7/2024,"€722,20",Gift
555,5/23/2024,"€908,46",Rental Income
556,8/28/2024,"€885,43",Gift
557,10/7/2024,"€638,87",Salary
558,3/10/2024,"€979,91",Gift
559,12/24/2023,"€233,82",Freelance
560,7/20/2024,"€299,69",Investment
561,9/24/2024,"€144,10",Salary
562,9/18/2024,"€213,24",Freelance
563,5/25/2024,"€57,26",Salary
564,8/4/2024,"€938,41",Rental Income
565,9/30/2024,"€418,16",Investment
566,3/19/2024,"€657,36",Gift
567,5/29/2024,"€731,97",Rental Income
568,9/9/2024,"€166,24",Salary
569,8/9/2024,"€880,21",Rental Income
570,12/31/2023,"€846,59",Gift
571,12/6/2023,"€414,89",Gift
572,9/27/2024,"€220,48",Salary
573,9/24/2024,"€812,26",Rental Income
574,3/3/2024,"€557,55",Gift
575,10/4/2024,"€489,03",Freelance
576,9/26/2024,"€291,36",Investment
577,2/28/2024,"€276,17",Rental Income
578,8/26/2024,"€478,46",Gift
579,2/28/2024,"€229,68",Rental Income
580,10/30/2024,"€377,00",Investment
581,9/11/2024,"€983,51",Investment
582,9/13/2024,"€978,12",Investment
583,2/18/2024,"€309,85",Rental Income
584,8/10/2024,"€10,18",Gift
585,7/14/2024,"€151,62",Rental Income
586,2/24/2024,"€725,76",Investment
587,12/2/2023,"€529,51",Gift
588,10/26/2024,"€417,72",Gift
589,7/23/2024,"€75,43",Salary
590,9/1/2024,"€744,82",Rental Income
591,12/19/2023,"€803,00",Salary
592,6/27/2024,"€656,85",Gift
593,4/27/2024,"€86,65",Investment
594,7/23/2024,"€321,41",Freelance
595,1/20/2024,"€642,16",Salary
596,4/13/2024,"€956,08",Investment
597,10/22/2024,"€106,38",Salary
598,8/16/2024,"€694,37",Freelance
599,9/21/2024,"€691,33",Freelance
600,1/14/2024,"€940,28",Freelance
601,6/4/2024,"€400,17",Salary
602,2/4/2024,"€809,85",Salary
603,4/4/2024,"€393,75",Investment
604,6/1/2024,"€117,07",Investment
605,3/19/2024,"€938,81",Gift
606,5/27/2024,"€682,99",Gift
607,3/10/2024,"€60,75",Rental Income
608,11/12/2023,"€437,80",Rental Income
609,3/13/2024,"€747,11",Freelance
610,12/30/2023,"€566,89",Freelance
611,10/6/2024,"€116,14",Investment
612,8/5/2024,"€60,73",Investment
613,6/19/2024,"€403,51",Rental Income
614,4/1/2024,"€369,15",Freelance
615,12/1/2023,"€310,96",Freelance
616,7/27/2024,"€953,85",Rental Income
617,4/16/2024,"€308,65",Salary
618,2/7/2024,"€720,86",Freelance
619,11/23/2023,"€514,97",Salary
620,5/4/2024,"€916,93",Investment
621,11/4/2024,"€385,19",Gift
622,5/28/2024,"€149,44",Gift
623,2/8/2024,"€318,84",Freelance
624,5/27/2024,"€620,87",Freelance
625,10/15/2024,"€100,68",Rental Income
626,6/21/2024,"€728,93",Freelance
627,1/9/2024,"€80,93",Gift
628,11/12/2023,"€206,26",Rental Income
629,3/12/2024,"€694,75",Salary
630,10/19/2024,"€309,16",Gift
631,2/8/2024,"€500,61",Salary
632,3/13/2024,"€258,52",Rental Income
633,8/20/2024,"€938,66",Salary
634,1/27/2024,"€682,80",Salary
635,9/4/2024,"€641,98",Salary
636,9/7/2024,"€943,82",Salary
637,10/8/2024,"€133,76",Gift
638,6/27/2024,"€351,34",Salary
639,9/13/2024,"€182,27",Salary
640,10/17/2024,"€45,15",Rental Income
641,7/19/2024,"€295,20",Freelance
642,4/4/2024,"€7,24",Rental Income
643,4/19/2024,"€841,50",Investment
644,1/8/2024,"€689,43",Gift
645,12/22/2023,"€790,82",Gift
646,3/7/2024,"€628,36",Investment
647,7/25/2024,"€598,44",Salary
648,8/23/2024,"€196,56",Freelance
649,10/8/2024,"€81,30",Gift
650,1/7/2024,"€66,09",Investment
651,7/27/2024,"€571,71",Freelance
652,4/15/2024,"€386,83",Rental Income
653,3/25/2024,"€45,09",Rental Income
654,10/3/2024,"€426,88",Rental Income
655,2/26/2024,"€749,70",Investment
656,4/15/2024,"€144,27",Salary
657,1/18/2024,"€519,58",Investment
658,4/18/2024,"€634,58",Gift
659,6/24/2024,"€168,02",Gift
660,12/8/2023,"€663,86",Gift
661,3/28/2024,"€987,84",Salary
662,7/1/2024,"€117,70",Gift
663,5/14/2024,"€463,39",Freelance
664,7/7/2024,"€489,17",Investment
665,2/7/2024,"€538,34",Salary
666,5/1/2024,"€894,48",Investment
667,5/31/2024,"€274,08",Rental Income
668,8/24/2024,"€432,11",Investment
669,9/8/2024,"€736,94",Investment
670,9/6/2024,"€256,98",Freelance
671,10/5/2024,"€686,57",Freelance
672,4/16/2024,"€89,76",Gift
673,8/21/2024,"€759,49",Salary
674,9/7/2024,"€611,74",Gift
675,12/29/2023,"€277,88",Investment
676,10/17/2024,"€671,56",Investment
677,4/6/2024,"€826,42",Investment
678,3/5/2024,"€732,34",Rental Income
679,3/27/2024,"€850,09",Investment
680,10/11/2024,"€522,92",Salary
681,4/17/2024,"€779,00",Rental Income
682,12/30/2023,"€481,62",Rental Income
683,12/1/2023,"€867,90",Investment
684,4/5/2024,"€886,57",Gift
685,12/7/2023,"€417,62",Gift
686,1/29/2024,"€427,04",Gift
687,9/10/2024,"€99,27",Rental Income
688,2/20/2024,"€57,96",Salary
689,11/25/2023,"€213,47",Investment
690,9/1/2024,"€486,16",Investment
691,4/5/2024,"€190,75",Investment
692,12/22/2023,"€336,24",Investment
693,11/21/2023,"€41,30",Gift
694,11/13/2023,"€23,61",Rental Income
695,4/20/2024,"€401,09",Rental Income
696,5/25/2024,"€961,11",Investment
697,12/25/2023,"€248,40",Investment
698,1/23/2024,"€170,50",Gift
699,11/16/2023,"€801,05",Salary
700,1/4/2024,"€95,94",Investment
701,10/3/2024,"€382,22",Gift
702,11/12/2023,"€58,27",Gift
703,12/19/2023,"€939,23",Salary
704,7/29/2024,"€650,06",Freelance
705,10/18/2024,"€62,00",Freelance
706,1/24/2024,"€976,76",Investment
707,3/19/2024,"€650,39",Investment
708,1/17/2024,"€533,99",Salary
709,1/18/2024,"€702,09",Rental Income
710,4/13/2024,"€615,53",Gift
711,4/25/2024,"€644,80",Freelance
712,11/14/2023,"€167,65",Gift
713,8/6/2024,"€965,25",Rental Income
714,8/26/2024,"€542,55",Investment
